Order_ID,Customer_ID,Order_Date,Region,Product_Category,Sales_Amount
1048,34,2024-02-17,,Home,877.0
1049,9,2024-02-18,East,Electronics,757.0
1050,59,2024-02-19,,,552.0
1051,104,2024-02-20,South,Home,877.0
1052,25,2024-02-21,East,Clothing,569.0
1053,26,2024-02-22,West,Home,1402.0
1054,127,2024-02-23,North,Clothing,689.0
1055,108,2024-02-24,West,,1918.0
1056,65,2024-02-25,West,Electronics,1918.0
1057,48,2024-02-26,West,,158.0
1058,6,2024-02-27,South,Home,877.0
1059,19,2024-02-28,East,Electronics,158.0
1060,40,2024-02-29,East,Clothing,70.0
1061,97,2024-03-01,,Home,
1062,133,2024-03-02,North,Electronics,1575.0
1063,51,2024-03-03,East,Electronics,70.0
1064,97,2024-03-04,East,Electronics,689.0
1065,58,2024-03-05,North,Home,1700.0
1066,114,2024-03-06,West,Clothing,1403.0
1067,145,2024-03-07,North,Clothing,1403.0
1068,2,2024-03-08,West,Electronics,1902.0
1069,52,2024-03-09,East,Clothing,552.0
1070,2,2024-03-10,,Clothing,757.0
1071,28,2024-03-11,East,Electronics,757.0
1072,33,2024-03-12,East,,1575.0
1073,32,2024-03-13,,Electronics,258.0
1074,87,2024-03-14,North,Electronics,1575.0
1075,75,2024-03-15,North,Electronics,552.0
1076,90,2024-03-16,North,Home,689.0
1077,82,2024-03-17,South,Electronics,863.0
1078,68,2024-03-18,,,258.0
1079,2,2024-03-19,,Home,158.0
1080,66,2024-03-20,East,,1201.0
1081,50,2024-03-21,South,Home,310.0
1082,34,2024-03-22,West,Electronics,258.0
1083,12,2024-03-23,West,Home,1403.0
1084,12,2024-03-24,North,Home,877.0
1085,126,2024-03-25,North,Home,158.0
1086,82,2024-03-26,North,Electronics,1700.0
1087,30,2024-03-27,,Electronics,552.0
1088,108,2024-03-28,West,,305.0
1089,125,2024-03-29,West,Home,569.0
1090,4,2024-03-30,North,Clothing,1902.0
1091,95,2024-03-31,East,Clothing,552.0
1092,39,2024-04-01,East,Clothing,552.0
1093,93,2024-04-02,South,,500.0
1094,42,2024-04-03,,Clothing,877.0
1095,2,2024-04-04,East,,1402.0
1096,81,2024-04-05,West,Clothing,877.0
1097,26,2024-04-06,West,Electronics,70.0
1098,121,2024-04-07,South,,1201.0
1099,11,2024-04-08,South,Electronics,689.0
1100,74,2024-04-09,South,Electronics,
1101,69,2024-04-10,East,,689.0
1102,29,2024-04-11,South,Electronics,757.0
1103,145,2024-04-12,East,Clothing,1402.0
1104,35,2024-04-13,,Clothing,1575.0
1105,42,2024-04-14,West,Home,1575.0
1106,1,2024-04-15,North,Home,1403.0
1107,2,2024-04-16,West,,1700.0
1108,79,2024-04-17,West,Home,500.0
1109,37,2024-04-18,North,Home,258.0
1110,119,2024-04-19,North,Electronics,305.0
1111,121,2024-04-20,West,Electronics,1402.0
1112,129,2024-04-21,North,Electronics,552.0
1113,4,2024-04-22,,Electronics,877.0
1114,8,2024-04-23,East,,500.0
1115,89,2024-04-24,East,Electronics,
1116,100,2024-04-25,South,Electronics,863.0
1117,95,2024-04-26,South,Clothing,500.0
1118,109,2024-04-27,,,158.0
1119,11,2024-04-28,East,Electronics,497.0
1120,44,2024-04-29,East,Electronics,689.0
1121,95,2024-04-30,,Clothing,1402.0
1122,102,2024-05-01,East,Clothing,552.0
1123,141,2024-05-02,South,Electronics,1700.0
1124,36,2024-05-03,,Clothing,305.0
1125,91,2024-05-04,South,Electronics,569.0
1126,32,2024-05-05,West,,158.0
1127,49,2024-05-06,North,,1902.0
1128,147,2024-05-07,North,Electronics,1402.0
1129,115,2024-05-08,West,Home,1201.0
1130,15,2024-05-09,West,Home,1700.0
1131,119,2024-05-10,North,Electronics,497.0
1132,132,2024-05-11,East,Electronics,
1133,102,2024-05-12,West,Home,497.0
1134,13,2024-05-13,East,Electronics,1402.0
1135,66,2024-05-14,South,,1575.0
1136,70,2024-05-15,North,,1918.0
1137,55,2024-05-16,North,Clothing,310.0
1138,50,2024-05-17,East,Electronics,497.0
1139,101,2024-05-18,South,Electronics,310.0
1140,4,2024-05-19,South,,757.0
1141,23,2024-05-20,East,Electronics,1700.0
1142,134,2024-05-21,East,Clothing,1918.0
1143,140,2024-05-22,,Electronics,1902.0
1144,148,2024-05-23,North,Home,689.0
1145,99,2024-05-24,,Electronics,500.0
1146,140,2024-05-25,South,Home,
1147,1,2024-05-26,South,Electronics,863.0
1148,101,2024-05-27,East,Electronics,569.0
1149,44,2024-05-28,East,Clothing,70.0
1150,86,2024-05-29,South,,500.0
1151,14,2024-05-30,West,Electronics,497.0
1152,80,2024-05-31,South,Home,
1153,43,2024-06-01,,Clothing,
1154,3,2024-06-02,North,Clothing,1201.0
1155,121,2024-06-03,,Clothing,305.0
1156,76,2024-06-04,West,Clothing,569.0
1157,29,2024-06-05,North,,1402.0
1158,84,2024-06-06,,Clothing,1918.0
1159,110,2024-06-07,South,Clothing,1403.0
1160,88,2024-06-08,,Clothing,863.0
1161,115,2024-06-09,South,,258.0
1162,81,2024-06-10,,Electronics,689.0
1163,124,2024-06-11,North,,1902.0
1164,79,2024-06-12,,Home,552.0
1165,8,2024-06-13,South,Clothing,500.0
1166,112,2024-06-14,South,,1902.0
1167,139,2024-06-15,South,Home,258.0
1168,104,2024-06-16,South,Electronics,877.0
1169,32,2024-06-17,,,70.0
1170,117,2024-06-18,South,Home,158.0
1171,18,2024-06-19,East,Clothing,310.0
1172,2,2024-06-20,North,Electronics,158.0
1173,55,2024-06-21,East,Electronics,1201.0
1174,22,2024-06-22,West,,1575.0
1175,75,2024-06-23,East,,689.0
1176,106,2024-06-24,North,Electronics,1902.0
1177,140,2024-06-25,West,Home,863.0
1178,16,2024-06-26,West,Electronics,1201.0
1179,118,2024-06-27,South,,70.0
1180,40,2024-06-28,West,Clothing,305.0
1181,74,2024-06-29,,Home,1918.0
1182,122,2024-06-30,South,Electronics,1403.0
1183,33,2024-07-01,North,Home,863.0
1184,147,2024-07-02,,Home,1575.0
1185,63,2024-07-03,,Electronics,1402.0
1186,26,2024-07-04,West,Electronics,1918.0
1187,55,2024-07-05,South,Clothing,1201.0
1188,57,2024-07-06,,Clothing,70.0
1189,102,2024-07-07,West,Clothing,863.0
1190,130,2024-07-08,West,Home,877.0
1191,89,2024-07-09,,,1575.0
1192,86,2024-07-10,West,,158.0
1193,76,2024-07-11,West,Home,863.0
1194,55,2024-07-12,,Electronics,1201.0
1195,112,2024-07-13,,Home,863.0
1196,119,2024-07-14,East,,310.0
1197,34,2024-07-15,,Home,497.0
1198,76,2024-07-16,South,,1403.0
1199,134,2024-07-17,West,Clothing,497.0
1200,130,2024-07-18,,Electronics,1902.0
1201,110,2024-07-19,West,Clothing,863.0
1202,72,2024-07-20,South,,305.0
1203,149,2024-07-21,North,,497.0
1204,4,2024-07-22,South,Electronics,689.0
1205,125,2024-07-23,West,Home,500.0
1206,125,2024-07-24,East,Electronics,1201.0
1207,55,2024-07-25,South,Electronics,70.0
1208,61,2024-07-26,West,Home,500.0
1209,132,2024-07-27,South,,877.0
1210,122,2024-07-28,West,,497.0
1211,74,2024-07-29,South,Home,552.0
1212,146,2024-07-30,South,Clothing,497.0
1213,2,2024-07-31,,Home,497.0
1214,50,2024-08-01,South,,1402.0
1215,31,2024-08-02,East,Home,569.0
1216,39,2024-08-03,East,Clothing,877.0
1217,84,2024-08-04,West,Electronics,500.0
1218,47,2024-08-05,,,877.0
1219,87,2024-08-06,West,,552.0
1220,98,2024-08-07,South,,1201.0
1221,50,2024-08-08,South,Home,1902.0
1222,77,2024-08-09,North,Electronics,1902.0
1223,103,2024-08-10,West,Home,863.0
1224,54,2024-08-11,North,Clothing,305.0
1225,45,2024-08-12,East,,305.0
1226,19,2024-08-13,North,,757.0
1227,61,2024-08-14,West,Clothing,552.0
1228,30,2024-08-15,South,Home,310.0
1229,96,2024-08-16,East,Clothing,158.0
1230,22,2024-08-17,South,Electronics,500.0
1231,59,2024-08-18,West,Home,757.0
1232,54,2024-08-19,West,,1902.0
1233,35,2024-08-20,South,Electronics,1403.0
1234,20,2024-08-21,East,,863.0
1235,77,2024-08-22,East,Electronics,1700.0
1236,88,2024-08-23,,,877.0
1237,134,2024-08-24,East,Electronics,569.0
1238,33,2024-08-25,North,Electronics,1700.0
1239,119,2024-08-26,West,Clothing,258.0
1240,144,2024-08-27,West,Home,305.0
1241,50,2024-08-28,,,757.0
1242,99,2024-08-29,South,Home,569.0
1243,109,2024-08-30,North,Clothing,757.0
1244,116,2024-08-31,North,Clothing,1902.0
1245,123,2024-09-01,East,Clothing,305.0
1246,94,2024-09-02,North,,877.0
1247,133,2024-09-03,North,Home,158.0
1248,139,2024-09-04,East,Home,1201.0
1249,25,2024-09-05,North,Clothing,500.0
1250,64,2024-09-06,East,Home,
