Customer_ID,Age,Gender,Annual_Income,Spending_Score,Churn
80,21,Female,72340,83,1
81,29,Male,116250,96,1
82,34,Female,90112,88,1
83,30,Male,52438,15,1
84,47,Male,36715,17,0
85,61,Male,36619,18,0
86,59,Female,119521,8,1
87,27,Female,112512,62,0
88,30,Female,44966,72,1
89,21,Female,64336,36,1
90,64,Female,96163,65,1
91,32,Male,32855,22,1
92,38,Male,45566,94,1
93,33,Female,48548,31,0
94,53,Female,97019,74,1
95,22,Female,51336,58,1
96,61,Female,72510,46,0
97,26,Male,45370,57,0
98,44,Male,68430,10,0
99,61,Male,55895,2,0
100,41,Female,53267,21,0
101,31,Male,100666,17,1
102,57,Male,60665,16,0
103,21,Male,91615,91,0
104,47,Male,20236,36,0
105,30,Female,118260,67,0
106,30,Female,95466,20,1
107,33,Male,60433,70,1
108,47,Male,68481,78,1
109,26,Male,96837,67,1
110,56,Male,67916,97,1
111,24,Male,49361,39,1
112,39,Female,42226,32,0
113,62,Male,35185,12,1
114,45,Male,93015,87,1
115,25,Male,67598,64,1
116,35,Female,31025,65,0
117,60,Female,33256,22,0
118,23,Male,96662,44,0
119,54,Female,95341,2,1
120,59,Female,88670,15,1
121,59,Male,102326,83,0
122,47,Female,69704,56,0
123,44,Male,92499,36,1
124,18,Female,26721,11,1
125,40,Female,90573,99,0
126,52,Female,72149,50,1
127,30,Male,63040,7,0
128,24,Male,111316,11,0
129,58,Male,65427,47,1
130,52,Male,109799,58,1
131,60,Male,29092,27,1
132,64,Male,24172,15,1
133,47,Female,68128,8,1
134,56,Female,78370,64,0
135,60,Female,46415,94,1
136,35,Female,76661,31,1
137,23,Female,42294,46,0
138,33,Male,45566,89,1
139,30,Male,25974,45,0
140,59,Male,36503,73,1
141,58,Male,105847,57,1
142,46,Male,74324,90,1
143,55,Female,55594,32,0
144,27,Male,107176,42,0
145,41,Male,71019,89,1
146,39,Female,116551,79,1
147,22,Female,20323,58,1
148,45,Male,60431,80,1
149,30,Female,57491,11,0
150,59,Female,20839,34,1
151,29,Male,37008,75,0
152,24,Female,55398,49,0
153,51,Male,86893,92,0
154,39,Female,35376,45,1
155,39,Male,41244,50,1
156,48,Male,104994,30,0
157,61,Female,70535,32,0
158,46,Female,91300,9,0
159,30,Male,98877,73,1
160,30,Female,107269,88,0
161,63,Male,116589,37,0
162,54,Male,79583,53,0
163,25,Male,84280,63,1
164,39,Female,93429,17,0
165,59,Male,86667,6,1
166,56,Male,69391,96,0
167,33,Female,71919,43,1
168,61,Male,104612,77,0
169,36,Male,65205,84,1
170,46,Male,84750,68,1
171,34,Male,30907,77,1
172,23,Female,119756,50,0
173,53,Male,74648,62,1
174,31,Male,107498,77,0
175,50,Male,26555,54,0
176,41,Female,99957,35,1
177,49,Male,28985,70,0
178,51,Male,59789,81,1
179,63,Male,33251,36,0
180,58,Female,77349,69,1
181,45,Female,63904,27,0
182,32,Male,36657,46,1
183,63,Male,66922,18,1
184,59,Female,77127,52,1
185,60,Female,34823,41,1
186,50,Female,68083,86,1
187,52,Male,106860,69,1
188,49,Female,72276,83,1
189,56,Male,44344,98,1
190,36,Male,68642,4,0
191,27,Male,70887,64,1
192,27,Male,55292,79,0
193,31,Male,25733,4,0
194,39,Male,66663,50,0
195,61,Male,100123,7,0
196,19,Male,116690,87,0
197,49,Female,33500,94,1
198,32,Male,22793,56,0
199,34,Female,46915,72,0
200,43,Male,34962,66,0
201,64,Male,23241,78,0
202,51,Male,25939,54,0
203,39,Male,109526,84,1
204,37,Female,93123,69,1
205,36,Female,114799,58,1
206,18,Male,96072,81,1
207,31,Male,80827,37,0
208,28,Female,106536,76,1
209,45,Female,112692,84,0
210,46,Female,75554,73,1
211,26,Male,47310,64,1
212,51,Female,24587,99,0
213,54,Male,97901,80,0
214,43,Male,110888,61,1
215,62,Male,109493,27,1
216,60,Female,39595,4,0
217,46,Male,85600,26,1
218,25,Female,65066,93,1
219,33,Female,57737,3,0
220,18,Male,22929,34,1
221,36,Female,112577,95,0
222,57,Female,64827,64,1
223,62,Male,97855,87,0
224,18,Male,98731,26,1
225,62,Male,105023,42,0
226,27,Male,41476,87,0
227,64,Female,80193,8,0
228,52,Female,96041,25,0
229,61,Female,83478,96,0
230,23,Male,101401,62,1
231,39,Male,66201,75,0
232,34,Male,102402,80,0
233,59,Male,65759,59,0
234,29,Male,82545,32,1
235,60,Male,97423,26,0
236,50,Female,75739,87,0
237,58,Male,115910,37,0
238,54,Female,46463,87,1
239,23,Male,43694,96,0
240,46,Male,64534,95,1
241,61,Female,105462,69,1
242,47,Male,78768,70,0
243,64,Male,90512,56,1
244,60,Male,31013,29,0
245,49,Female,117137,37,1
246,25,Male,116380,16,0
247,46,Female,97698,81,0
248,32,Male,112182,46,0
249,31,Male,36772,22,0
250,37,Male,68878,3,0
251,59,Male,109313,22,1
252,31,Female,34183,30,1
253,42,Male,48000,5,1
254,21,Male,109560,22,1
255,25,Male,87249,61,1
256,60,Female,68950,46,1
257,50,Female,74154,50,1
258,51,Female,51760,72,1
259,29,Male,57344,21,1
260,45,Male,99223,21,1
261,22,Female,51347,85,1
262,56,Female,29658,79,1
263,49,Male,112946,67,0
264,48,Female,106956,48,1
265,32,Male,76018,9,1
266,62,Female,74713,72,0
267,61,Female,62508,23,0
268,30,Female,86605,39,0
269,34,Male,118581,14,1
270,44,Female,52942,14,1
271,50,Female,33787,25,0
272,61,Male,20466,15,0
273,51,Male,95023,81,1
274,26,Female,91018,7,0
275,48,Male,97050,29,0
276,51,Female,91644,51,0
277,33,Male,62387,39,1
278,40,Female,46540,63,1
279,52,Female,39947,5,0
280,30,Male,24697,48,1
281,22,Male,30840,57,1
282,62,Female,44096,43,0
283,38,Male,98375,68,0
284,61,Male,34000,84,1
285,36,Female,39877,76,1
286,39,Male,43591,95,0
287,40,Male,103854,37,0
288,36,Male,119867,64,1
289,23,Female,20753,17,0
290,57,Female,55586,67,0
291,23,Female,46833,75,1
292,23,Male,106712,9,0
293,24,Female,24737,41,1
294,49,Male,22542,3,0
295,47,Male,36194,44,0
296,34,Male,110354,32,0
297,60,Female,36367,70,0
298,64,Male,72254,71,1
299,22,Male,118633,73,0
300,64,Female,103159,97,1
