Customer_ID,Age,Annual_Income,Spending_Score,Visits_Per_Month,Churn
92,49,148747,63,3,0
93,29,138757,99,7,0
94,48,111403,72,6,0
95,29,90528,71,5,0
96,62,25607,63,0,0
97,54,30240,52,11,1
98,59,62574,97,5,0
99,41,119716,8,1,1
100,48,77122,1,4,0
101,45,136836,68,7,0
102,55,101523,38,9,0
103,41,32073,58,7,0
104,60,102219,70,4,0
105,45,108769,90,2,0
106,55,61671,94,6,1
107,50,142194,41,5,1
108,21,61628,32,7,0
109,25,109869,47,5,0
110,46,114639,37,7,0
111,63,67035,94,7,0
112,59,36358,77,10,0
113,23,27221,10,4,1
114,63,76275,35,5,1
115,57,133282,74,2,0
116,66,37186,86,6,0
117,32,114400,22,4,0
118,52,51658,80,8,1
119,53,33812,32,7,0
120,50,75171,99,4,0
121,58,97573,93,7,0
122,45,144709,69,2,0
123,18,119837,86,0,0
124,32,68326,13,3,0
125,59,133105,65,4,1
126,50,63128,47,3,0
127,54,61923,53,7,1
128,45,92180,40,7,0
129,35,62637,40,7,0
130,31,48557,70,3,0
131,66,100476,16,5,1
132,43,134547,15,5,0
133,68,90764,33,7,0
134,28,141563,31,4,0
135,49,60708,46,7,0
136,44,31573,78,5,0
137,40,122428,78,9,0
138,28,112301,61,4,1
139,62,79315,53,7,0
140,51,97287,16,6,0
141,68,139940,37,6,0
142,56,27656,3,6,0
143,36,35445,68,8,0
144,31,106955,99,5,1
145,45,48978,31,6,1
146,20,90934,77,4,1
147,57,144255,67,4,0
148,52,39040,58,4,1
149,21,99751,25,8,1
150,33,81759,74,8,1
151,48,38594,31,6,1
152,47,27559,84,7,0
153,28,71868,83,2,0
154,52,28145,81,5,0
155,44,101795,71,4,0
156,24,50704,58,5,0
157,51,61089,6,3,0
158,29,146576,94,10,1
159,48,122003,72,8,0
160,24,131375,46,6,1
161,33,124991,92,3,0
162,49,47583,34,4,0
163,21,80271,88,5,0
164,29,36656,1,5,0
165,46,117700,38,7,0
166,24,64468,59,6,0
167,25,37032,61,4,1
168,38,107098,80,9,0
169,59,118936,42,4,0
170,43,74342,94,6,1
171,52,106613,8,5,0
172,25,56629,7,9,0
173,39,129379,52,5,0
174,23,95102,68,9,0
175,48,50945,72,5,0
176,19,57855,67,8,0
177,39,57254,38,3,1
178,66,128521,31,7,0
179,52,43411,30,5,0
180,57,148515,52,6,0
181,18,38474,26,13,0
182,24,143732,69,5,0
183,41,56720,93,5,0
184,36,78457,22,5,0
185,26,81830,77,5,0
186,40,114762,28,7,0
187,45,75607,36,7,1
188,22,133134,94,9,1
189,68,82857,16,8,0
190,63,148074,90,4,0
191,33,45349,43,6,0
192,50,111648,48,5,0
193,19,61228,79,3,1
194,41,73401,90,6,1
195,34,72787,94,3,1
196,39,126899,28,1,0
197,29,46741,99,5,0
198,21,93327,87,6,0
199,48,124194,54,4,0
200,37,87743,33,8,1
201,51,99739,75,6,0
202,28,40517,65,10,0
203,32,105243,74,9,0
204,49,66150,19,9,0
205,23,136155,56,5,0
206,47,69390,29,8,0
207,28,86293,55,14,0
208,34,72263,82,6,1
209,66,117974,79,10,1
210,41,87666,49,5,1
211,18,64803,90,4,0
212,25,122561,74,5,0
213,41,29960,30,7,0
214,54,73172,59,3,0
215,65,112044,38,10,0
216,66,65298,28,4,0
217,59,107434,94,6,0
218,43,93151,71,3,0
219,32,27258,18,4,1
220,42,45383,27,8,0
221,36,104676,8,5,1
222,18,127746,57,9,0
223,27,89148,41,7,0
224,64,146662,89,6,0
225,19,56047,95,5,0
226,30,149228,54,5,1
227,42,102784,7,7,0
228,49,95797,77,9,0
229,57,112356,56,8,0
230,55,127897,60,2,0
231,36,37107,8,5,0
232,20,85581,78,7,0
233,69,99422,66,4,0
234,48,131275,53,4,1
235,34,128604,77,6,0
236,47,102465,82,8,1
237,52,107654,72,6,1
238,36,69226,53,6,1
239,23,57602,52,6,0
240,19,37391,61,9,1
241,64,84598,42,9,0
242,55,35323,89,8,1
243,46,68093,15,4,1
244,24,54708,71,8,1
245,23,135920,74,5,0
246,22,49741,89,3,1
247,53,81248,81,7,0
248,51,140365,9,7,0
249,43,113473,52,4,0
250,22,102556,45,1,1
251,60,89733,42,7,0
252,31,61222,67,3,1
253,47,76593,82,7,1
254,30,85557,68,6,0
255,26,121763,12,11,1
256,64,122245,96,2,1
257,32,90040,90,5,0
258,37,123616,92,6,0
259,31,89649,95,5,1
260,65,141603,5,5,1
261,39,145117,75,6,1
262,60,78308,95,8,1
263,29,50560,65,5,0
264,39,132036,75,5,1
265,56,99648,8,3,1
266,57,68885,37,4,0
267,43,128760,60,15,1
268,24,32363,71,9,0
269,45,144188,30,1,1
270,51,107140,43,6,0
271,58,115063,22,6,0
272,58,79770,67,6,1
273,22,39153,97,2,1
274,52,33688,59,9,1
275,52,147082,12,7,1
276,56,118700,28,4,1
277,19,111801,64,6,1
278,34,31739,80,6,1
279,24,52759,83,7,0
280,18,43702,53,6,0
281,39,105564,33,6,1
282,62,143782,85,5,1
283,19,68987,1,5,0
284,21,48112,28,8,1
285,49,122211,73,5,1
286,23,89190,38,10,0
287,27,95376,32,3,0
288,51,35129,41,10,0
289,44,136433,54,11,0
290,41,86681,62,8,0
291,67,53221,62,7,0
292,38,94860,83,4,0
293,58,100945,59,3,0
294,63,58227,35,4,1
295,60,75360,69,8,1
296,62,32118,56,6,0
297,31,133865,11,4,0
298,44,108431,3,4,0
299,56,33281,45,9,0
300,30,122448,74,9,1
301,27,37359,55,7,0
302,64,136406,58,2,0
303,31,57166,52,8,0
304,18,94781,57,7,0
305,45,82854,95,5,1
306,35,58967,35,5,0
307,30,61852,48,7,0
308,49,92307,77,9,0
309,66,111318,49,5,0
310,64,67215,55,7,0
311,29,33455,79,2,1
312,44,110155,64,8,1
313,53,132953,1,5,0
314,40,62441,22,9,0
315,58,149617,91,10,0
316,22,40358,63,4,0
317,30,44130,68,7,1
318,55,58543,93,5,0
319,59,63502,85,7,1
320,49,132241,19,5,0
321,55,142662,56,9,1
322,56,58059,94,9,1
323,36,82953,40,9,0
324,57,93472,20,3,0
325,39,82503,38,8,0
326,24,45590,79,4,0
327,39,134604,54,5,0
328,61,57075,91,7,0
329,42,145508,63,4,1
330,69,116471,11,8,1
331,63,46449,41,4,0
332,68,30433,43,3,1
333,57,107469,79,7,0
334,60,83353,76,8,0
335,60,28949,78,5,0
336,30,120672,12,5,1
337,51,33921,80,4,0
338,50,105178,73,4,0
339,49,125182,96,11,0
340,40,54627,88,8,1
341,53,114510,70,10,0
342,21,69249,59,13,1
343,19,145687,65,4,1
344,34,108873,18,4,0
345,43,129631,32,9,1
346,20,30158,57,4,0
347,22,120684,10,7,1
348,22,75108,69,8,1
349,63,57179,47,2,0
350,37,93719,72,9,0
351,21,80297,33,6,0
352,30,27370,92,6,0
353,62,38723,76,3,0
354,29,33430,75,6,0
355,57,110063,31,7,0
356,65,41961,41,5,1
357,47,61005,88,4,0
358,30,62563,53,4,0
359,56,67847,32,5,0
360,19,120277,95,4,0
361,18,78499,28,3,0
362,23,94632,89,4,0
363,53,131629,26,7,1
364,22,64762,76,5,0
365,38,92258,54,8,0
366,66,120693,55,4,1
367,28,111146,24,8,1
368,58,36750,73,4,1
369,24,123198,41,6,0
370,38,129338,92,3,1
371,45,108816,88,3,0
372,45,130895,25,8,0
373,37,80355,15,6,1
374,56,33001,14,2,0
375,20,60952,8,4,1
376,57,142581,22,9,0
377,46,109119,88,3,0
378,49,96423,89,6,0
379,19,73322,29,8,1
380,27,115768,15,4,0
381,33,86561,90,9,0
382,61,92127,61,6,0
383,49,40658,39,8,0
384,65,145921,24,8,0
385,54,108866,76,5,1
386,49,55489,88,8,1
387,41,67545,42,5,0
388,29,105299,69,4,0
389,22,77952,13,4,1
390,33,113353,30,6,1
391,23,56275,57,8,0
392,59,133492,94,9,0
393,33,50809,93,6,0
394,69,39058,18,3,1
395,60,143505,16,9,0
396,62,45086,99,3,0
397,44,123001,88,4,0
398,27,145088,53,10,1
399,54,111607,51,4,0
400,62,72114,36,4,0
